license_numbers,premise_address,_id,name_of_license,business_name,latitude,longitude,postal_code
SW12G71E000,"1 COVE AVENUE #02-07/08/09/10 SENTOSA COVE ARRIVAL PLAZA, S(098537)",56,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.2471504050601,103.839555011268,098537
SW12H20A000,"498 JURONG WEST STREET 41 #01-434/436/438, S(640498)",58,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.34833335760515,103.724307319237,640498
SW12J94X000,"1 VISTA EXCHANGE GREEN, #B1-28 THE STAR VISTA, S(138617)",60,TANESEI TRADING PTE. LTD.,J MART,1.30688972960252,103.788506619352,138617
SW12J97L000,"1 VISTA EXCHANGE GREEN #B1-35/36 AND 02 THE STAR VISTA, S(138617)",62,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.30688972960252,103.788506619352,138617
SW12L48X000,"12 KRANJI ROAD 1ST STOREY, LODGE 1 WORKERS' DORMITORY, S(739522)",64,AJMAL TRADE MART PTE. LTD.,AJMAL TRADE MART,1.43069359839388,103.759237290643,739522
SW12M64L000,"25 GHIM MOH LINK, #01-11, S(270025)",66,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.3081474688469,103.786255228477,270025
SW12M67E000,"420A CLEMENTI AVENUE 1, #01-01, S(121420)",68,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.30979102116855,103.768657661297,121420
SW12N25V000,"31 OCEAN WAY, #01-26/27 QUAYSIDE ISLE, SENTOSA, S(098375)",70,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE,1.24775861469621,103.841921088698,098375
SW12O05A000,"502 WEST COAST DRIVE, #01-41, S(120502)",72,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.31188595916451,103.75908093731,120502
SW13245V000,"1 LOWER KENT RIDGE ROAD, #02-16 ONE@KENTRIDGE, S(119082)",73,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.29277431990535,103.784084011452,119082
SW13368A000,"154 WEST COAST ROAD, #B1-14 WEST COAST PLAZA, S(127371)",74,L M MEAT PTE. LTD.,Mmmm ! WEST COAST PLAZA,1.30374258287197,103.766092882107,127371
SW13Q24X000,"280 BUKIT BATOK EAST AVENUE 3, #01-315, S(650280)",75,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE,1.34770147739311,103.757044584552,650280
SW13T12J000,"50 JURONG GATEWAY ROAD, #B1-21/22 JEM, S(608549)",76,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE XTRA,1.33320021829132,103.743170428258,608549
SW13W88P000,"3 GATEWAY DRIVE, #B2-01 WESTGATE, S(608532)",77,ISETAN (SINGAPORE) LIMITED,ISETAN SUPERMARKET,1.33428313049536,103.742870105512,608532
NW18021V000,"105 CANBERRA STREET, #02-05, S(750105)",419,SHENG SIONG SUPERMARKET PTE LTD,SHENG SIONG,1.44885888669751,103.832406209651,750105
B02032E000,"161 ANG MO KIO AVENUE 4, #01-504, S(560161)",45,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT,1.37416445374568,103.839549130658,560161
