license_numbers,premise_address,_id,name_of_license,business_name
NW19637C000,"443C FAJAR ROAD, #01-70 FAJAR HILLS, S(673443)",432,YEO WHOLESALE AND TRADING PTE. LTD.,YEO EXPRESS
S02021B000,"510 BISHAN STREET 13, #01-520, S(570510)",433,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02023V000,"9 BISHAN PLACE, #B1-20 JUNCTION 8 SHOPPING CENTRE, S(579837)",434,NTUC FAIRPRICE CO-OPERATIVE LTD,FAIRPRICE FINEST
S02024X000,"205 HOUGANG STREET 21, #01-133 HEARTLAND MALL- KOVAN (SUPERMARKET), S(530205)",435,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
S02025P000,"6 HOUGANG AVENUE 3, #01-82, S(530006)",436,LIM KING CHEW,CHIN GUAN HIN MINIMART
S02026N000,"90 HOUGANG AVENUE 10, #B1-07 HOUGANG MALL, S(538766)",437,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02027L000,"682 HOUGANG AVENUE 4, #01-310, S(530682)",438,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02028K000,"202 HOUGANG STREET 21, #01-00, S(530202)",439,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02029J000,"1 HOUGANG STREET 91, #02-01 HOUGANG POINT, S(538692)",440,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02031V000,"309 HOUGANG AVENUE 5, #01-293, S(530309)",441,TAN CHUAN BOON,CHOP AH TAT MINI SUPERMARKET
S02033P000,"440 PASIR RIS DRIVE 4, #01-01, S(510440)",442,COLD STORAGE SINGAPORE (1983) PTE LTD,COLD STORAGE
S02034N000,"1 PASIR RIS CENTRAL STREET 3, #B1-10, S(518457)",443,NTUC FAIRPRICE CO-OPERATIVE LTD,NTUC FAIRPRICE
S02036K000,"9 TAMPINES STREET 32, #01-30, S(529286)",444,COLD STORAGE SINGAPORE (1983) PTE LTD,GIANT SUPERMARKET
