year_completed,multigen_sold,bldg_contract_town,multistorey_carpark,street,total_dwelling_units,blk_no,exec_sold,max_floor_lvl,residential,1room_sold,precinct_pavilion,other_room_rental,5room_sold,3room_sold,commercial,4room_sold,miscellaneous,studio_apartment_sold,2room_rental,2room_sold,1room_rental,3room_rental,market_hawker,_id
1994,0,BD,N,BEDOK STH AVE 2,2,10C,2,2,Y,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,84
1997,0,TP,N,LOR 7 TOA PAYOH,0,10C,0,1,N,0,Y,0,0,0,N,0,N,0,0,0,0,0,N,85
1994,0,BD,N,BEDOK STH AVE 2,84,10D,84,23,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,86
1992,0,BD,N,BEDOK STH AVE 2,81,10E,81,21,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,87
1992,0,BD,N,BEDOK STH AVE 2,67,10F,67,24,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,88
1977,0,GL,N,ALJUNIED CRES,198,100,0,12,Y,0,N,0,0,0,N,0,Y,0,0,0,198,0,N,89
1978,0,BD,N,BEDOK NTH AVE 4,206,100,1,14,Y,0,N,0,1,178,N,26,N,0,0,0,0,0,N,90
1964,0,QT,N,C'WEALTH CRES,75,100,0,10,Y,0,N,0,0,61,N,5,N,0,0,9,0,0,N,91
1968,0,TP,N,LOR 1 TOA PAYOH,192,100,0,16,Y,0,N,0,0,192,N,0,N,0,0,0,0,0,N,92
1973,0,KWN,N,WHAMPOA DR,96,100,0,25,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,93
1981,0,KWN,N,AH HOOD RD,96,101,0,25,Y,0,N,0,96,0,N,0,N,0,0,0,0,0,N,94
1977,0,GL,N,ALJUNIED CRES,152,101,1,12,Y,0,N,0,1,126,Y,22,N,0,0,0,0,2,N,95
1977,0,AMK,N,ANG MO KIO AVE 3,88,101,0,12,Y,0,N,0,76,0,N,12,N,0,0,0,0,0,N,96
1985,0,BD,N,BEDOK RESERVOIR RD,110,101,0,12,Y,0,N,0,94,0,N,16,N,0,0,0,0,0,N,97
1977,0,BD,N,BEDOK NTH AVE 4,168,101,0,13,Y,0,N,0,0,0,N,0,Y,0,133,35,0,0,N,98
2019,0,TP,Y,BIDADARI PK DR,0,101,0,2,N,0,Y,0,0,0,N,0,Y,0,0,0,0,0,N,99
1986,0,BH,N,BISHAN ST 12,92,101,8,25,Y,0,N,0,84,0,N,0,N,0,0,0,0,0,N,100
1984,0,BB,N,BT BATOK WEST AVE 6,96,101,0,13,Y,0,N,0,48,2,N,46,N,0,0,0,0,0,N,101
1982,0,BM,N,BT PURMEI RD,140,101,0,11,Y,0,N,0,0,89,N,50,N,0,0,0,0,1,N,102
1964,0,QT,N,C'WEALTH CRES,76,101,0,10,Y,0,N,0,0,62,N,4,N,0,0,10,0,0,N,103
2019,0,SB,N,CANBERRA ST,0,101,0,1,N,0,N,0,0,0,N,0,Y,0,0,0,0,0,N,104
1984,0,CL,N,CLEMENTI ST 14,112,101,0,15,Y,0,N,0,94,0,N,18,N,0,0,0,0,0,N,105
1986,0,BP,N,GANGSA RD,60,101,60,13,Y,0,N,0,0,0,N,0,N,0,0,0,0,0,N,106
1967,0,BM,N,HENDERSON CRES,96,101,0,12,Y,0,N,0,0,0,N,96,N,0,0,0,0,0,N,107
1983,0,HG,N,HOUGANG AVE 1,108,101,0,9,Y,0,N,0,0,0,N,108,Y,0,0,0,0,0,N,108
1980,0,KWN,N,JLN RAJAH,128,101,0,17,Y,0,N,0,0,0,N,128,Y,0,0,0,0,0,N,109
