address,latitude,longitude,postal_code,building,road_name
183 STIRLING RD,1.29568740644003,103.80486231318,140183,STIRLING RISE,STIRLING ROAD
504D MONTREAL DR,1.45045843825508,103.823880958571,754504,MONTREAL SPRING,MONTREAL DRIVE
501C WELLINGTON CIRCLE,1.45169408187552,103.821715715582,753501,MONTREAL SPRING,WELLINGTON CIRCLE
467A ADMIRALTY DR,1.45201033384253,103.813929032074,751467,BLUE RIVERVIEW,ADMIRALTY DRIVE
469B ADMIRALTY DR,1.44826812204429,103.813348364213,752469,BLUE RIVERVIEW,ADMIRALTY DRIVE
359C ADMIRALTY DR,1.44912493660072,103.814713869962,753359,SUN BLISS,ADMIRALTY DRIVE
341A SEMBAWANG CL,1.44757636464401,103.818609770738,751341,SUN TRELLIS,SEMBAWANG CLOSE
350A CANBERRA RD,1.45054091181454,103.820624275703,751350,NIL,CANBERRA ROAD
359B ADMIRALTY DR,1.44963205506725,103.815084137742,752359,NIL,ADMIRALTY DRIVE
122D RIVERVALE DR,1.38709611224694,103.905723021788,544122,RIVERVALE BANK,RIVERVALE DRIVE
303C ANCHORVALE LINK,1.38759793773653,103.890220332665,543303,ANCHORVALE COURT,ANCHORVALE LINK
258B COMPASSVALE RD,1.39290277450107,103.897404571333,542258,COMPASSVALE GARDENS,COMPASSVALE ROAD
203B COMPASSVALE RD,1.38689909846857,103.894771744264,542203,NIL,COMPASSVALE ROAD
291D COMPASSVALE ST,1.39680336272166,103.898497262093,544291,COMPASSVALE LODGE,COMPASSVALE STREET
200A SENGKANG EAST RD,1.38700703200166,103.891964770037,541200,COMPASSVALE SOUTH GATE,SENGKANG EAST ROAD
200B SENGKANG EAST RD,1.3870653779354,103.892735553222,542200,COMPASSVALE SOUTH GATE,SENGKANG EAST ROAD
260B SENGKANG EAST WAY,1.39364133502199,103.895275278312,542260,COMPASSVALE NORTH GATE,SENGKANG EAST WAY
311C ANCHORVALE LANE,1.39157127388497,103.884436159774,543311,ANCHORVALE VISTA,ANCHORVALE LANE
73A REDHILL RD,1.28793756967297,103.816790861272,151073,NIL,REDHILL ROAD
111B DEPOT RD,1.28116510147179,103.808471760006,102111,DEPOT HEIGHTS,DEPOT ROAD
651 SENJA LINK,1.38661244316801,103.763652921172,670651,NIL,SENJA LINK
660A JURONG WEST ST 64,1.33569163767409,103.704301685702,641660,NIL,JURONG WEST STREET 64
661A JURONG WEST ST 64,1.33567944605321,103.705141174139,641661,NIL,JURONG WEST STREET 64
661B JURONG WEST ST 64,1.33599339068682,103.705617495141,642661,NIL,JURONG WEST STREET 64
661C JURONG WEST ST 64,1.33607703951673,103.705050161682,643661,NIL,JURONG WEST STREET 64
662A JURONG WEST ST 64,1.33688578252671,103.702739749317,641662,NIL,JURONG WEST STREET 64
632 JURONG WEST ST 65,1.34395708826043,103.69981557618,640632,NIL,JURONG WEST STREET 65
633 JURONG WEST ST 65,1.34326081308615,103.69933430697,640633,NIL,JURONG WEST STREET 65
659C JURONG WEST ST 65,1.33639827455507,103.701863345055,643659,NIL,JURONG WEST STREET 65
631 JURONG WEST ST 65,1.34329710152481,103.700240981582,640631,NIL,JURONG WEST STREET 65
611 JURONG WEST ST 65,1.3389061885246,103.700751339877,640611,NIL,JURONG WEST STREET 65
669B JURONG WEST ST 64,1.34284965706275,103.702804278151,642669,NIL,JURONG WEST STREET 64
17 JLN TENTERAM,1.32821169071169,103.859812573047,321017,NIL,JALAN TENTERAM
176D EDGEFIELD PLAINS,1.39794240618774,103.909448151668,824176,NIL,EDGEFIELD PLAINS
352A CANBERRA RD,1.45065508162834,103.819650880153,751352,NIL,CANBERRA ROAD
469A ADMIRALTY DR,1.44992054287523,103.81367406265,751469,BLUE RIVERVIEW,ADMIRALTY DRIVE
353C ADMIRALTY DR,1.44975787431726,103.819449183568,753353,NIL,ADMIRALTY DRIVE
354B ADMIRALTY DR,1.45039898878298,103.818680990646,752354,NIL,ADMIRALTY DRIVE
351B CANBERRA RD,1.45086077228911,103.819972769999,752351,NIL,CANBERRA ROAD
501D WELLINGTON CIRCLE,1.45105057890399,103.822432144608,754501,MONTREAL SPRING,WELLINGTON CIRCLE
301A ANCHORVALE DR,1.38902209670852,103.8917280092,541301,ANCHORVALE COURT,ANCHORVALE DRIVE
201A COMPASSVALE DR,1.38900121148939,103.892763307705,541201,COMPASSVALE SOUTH GATE,COMPASSVALE DRIVE
201B COMPASSVALE DR,1.38831311571148,103.893923639861,542201,COMPASSVALE SOUTH GATE,COMPASSVALE DRIVE
291A COMPASSVALE ST,1.39561623545704,103.897941802132,541291,COMPASSVALE LODGE,COMPASSVALE STREET
299B COMPASSVALE ST,1.39682859571624,103.901186812758,542299,COMPASSVALE GREEN,COMPASSVALE STREET
160 LOR 1 TOA PAYOH,1.33094425474347,103.845020410471,310160,TOA PAYOH GREEN,LORONG 1 TOA PAYOH
161 LOR 1 TOA PAYOH,1.33050932305378,103.845003635197,310161,TOA PAYOH GREEN,LORONG 1 TOA PAYOH
613 BT PANJANG RING RD,1.38436672930183,103.762046231912,670613,NIL,BUKIT PANJANG RING ROAD
